id,address,type
7969,"3471 Trident Street",Business
7970,"7946 Yarmouth Place",Residential
7971,"59 Prince Street",Residential
7972,"358 Lilly Street",Residential
7973,"237 B Street",Residential
7974,"2934 Sterling Square",Residential
7975,"308 Marshall Street",Residential
7976,"63 Fleet Street",Residential
7977,"30 Porter Street",Business
7978,"414 Warren Avenue",Residential
7979,"79 Champney Place",Residential
7980,"556 Charles Street S",Business
7981,"233 Pilsudski Way",Business
7982,"771 Leverett Avenue",Business
7983,"187 Cedar Lane Way",Residential
7984,"5179 Channel Street",Business
7985,"7619 Perry Street",Residential
7986,"6948 Longwood Avenue",Residential
7987,"352 Landing Street",Business
7988,"257 Buick Street",Residential
7989,"479 Harrison Avenue",Residential
7990,"767 Richmond Place",Residential
7991,"15 E 7th Street",Business
7992,"78 Dorchester Avenue",Residential
7993,"819 Frederick Street",Residential
7994,"912 Swift Street",Residential
7995,"826 Silver Street",Residential
7996,"12 Exeter Street",Residential
7997,"943 E Canton Street",Residential
7998,"742 Southampton Street",Business
7999,"564 Francis Street",Residential
8000,"74 Union Street",Residential
8001,"49 Ridgeway Lane",Business
8002,"568 Baldwin Street",Residential
8003,"663 Sanger Street",Residential
8004,"4 Haynes Street",Residential
8005,"195 Unity Street",Residential
8006,"674 Garden Court",Residential
8007,"535 Federal Street",Residential
8008,"90 Thomson Place",Residential
8009,"82 Anthony Place",Residential
8010,"246 Bay Street",Residential
8011,"48 Msgr O'Callaghan Way",Residential
8012,"3 Jason Terrace",Residential
8013,"2 Ballard Way",Residential
8014,"5068 Beacon Street",Residential
8015,"892 Munson Street",Business
8016,"71 Overland Street",Business
8017,"5850 Embankment Road",Residential
8018,"832 N Hudson Street",Residential
8019,"8058 Washington Street",Residential
8020,"43 Ruth Street",Residential
8021,"103 Shawmut Avenue",Business
8022,"510 Salutation Street",Residential
8023,"36 Oak Street W",Business
8024,"1690 Pond Street Place",Residential
8025,"75 Mount Vernon Place",Business
8026,"27 W 4th Street",Residential
8027,"5168 Avenue of the Arts",Business
8028,"93 Brigham Street",Residential
8029,"825 State Route 28",Residential
8030,"9715 Friend Street",Residential
8031,"52 Washington Avenue",Residential
8032,"65 Boylston Street",Business
8033,"55 O Street",Residential
8034,"60 Gold Street",Business
8035,"6937 Ted Williams Way",Business
8036,"72 Milton Place",Residential
8037,"48 Salutation Street",Residential
8038,"23 Edgerly Place",Residential
8039,"96 Winthrop Square",Business
8040,"398 N Margin Street",Business
8041,"230 Tufts Street",Residential
8042,"60 Bartlett Place",Business
8043,"2503 Lexington Street",Business
8044,"2325 Gray Street",Residential
8045,"3 Flint Place",Residential
8046,"338 Necco Place",Business
8047,"39 Acorn Street",Residential
8048,"417 Causeway Street",Residential
8049,"7 Park Drive",Residential
8050,"51 Cazenove Street",Residential
8051,"672 Concord Square",Residential
8052,"80 Unity Court",Residential
8053,"9428 E Springfield Street",Residential
8054,"36 Drumlin Road",Residential
8055,"61 F Street",Residential
8056,"3924 W Newton Street",Residential
8057,"19 Gloucester Street",Residential
8058,"40 Adams Place",Residential
8059,"107 Gladstone Street",Residential
8060,"524 Eastern Avenue",Residential
8061,"435 Parker Street",Business
8062,"181 Boylston Street",Residential
8063,"925 Arch Way",Business
8064,"59 Vancouver Street",Residential
8065,"90 Washington Street",Business
8066,"214 Agassiz Road",Business
8067,"39 Columbus Avenue",Residential
8068,"411 Washington Street",Business
8069,"221 New Whitney Street",Residential
8070,"158 McCormack Square",Residential
8071,"13 Minnie Court",Business
8072,"50 Clearway Street",Residential
8073,"384 Morton Street",Residential
8074,"50 Bowdoin Street",Business
8075,"6 N Hudson Street",Business
8076,"0 Evans Way",Business
8077,"37 Liberty Place",Residential
8078,"785 Board Alley",Residential
8079,"754 E Lenox Street",Residential
8080,"656 Smith Court",Residential
8081,"82 State Street",Residential
8082,"173 Lillian Street",Business
8083,"3796 Charles River Dam",Residential
8084,"32 Hersey Place",Residential
8085,"53 Staniford Street",Business
8086,"41 E Eagle Street",Residential
8087,"156 Fountain Place",Residential
8088,"2441 Blossom Street",Residential
8089,"768 Lincoln Street",Residential
8090,"44 Kempton Street",Residential
8091,"18 Bay State Place",Residential
8092,"61 St Cecilia Street",Residential
8093,"807 Glendon Place",Residential
8094,"87 Wharf Street",Business
8095,"839 Hull Street",Residential
8096,"55 Fairfield Street",Business
8097,"52 Harbor Street",Residential
8098,"960 Goodwin Court",Residential
8099,"485 Murphy Court",Business
8100,"304 N Hanover Court",Residential
8101,"500 Fay Street",Residential
8102,"96 Bridge Court",Business
8103,"336 Miner Street",Business
8104,"89 Hemenway Street",Business
8105,"9923 Blackinton Street",Residential
8106,"28 Chauncy Street",Residential
8107,"602 San Juan Street",Business
8108,"671 Waltham Street",Residential
8109,"531 Concord Square",Business
8110,"83 Jersey Street",Residential
8111,"18 St Edward Road",Residential
8112,"325 Brooks Street",Business
8113,"77 Shawsheen Road",Residential
8114,"27 Lowell Court",Residential
8115,"665 West Street",Residential
8116,"62 Revere Street",Business
8117,"2067 Wareham Street",Residential
8118,"28 Park Drive",Business
8119,"632 Saint Andrew Road",Residential
8120,"796 Revere Place",Residential
8121,"89 Brimmer Street",Residential
8122,"853 Lauten Place",Residential
8123,"234 New Chardon Street",Residential
8124,"757 Adams Place",Residential
8125,"168 Munson Street",Residential
8126,"950 Avery Place",Business
8127,"9447 Hardy Street",Business
8128,"8307 E 7th Street",Residential
8129,"505 Tufts Street",Residential
8130,"782 N Market Street",Residential
8131,"76 Butler Square",Residential
8132,"340 Breed Street",Residential
8133,"286 Marion Street",Residential
8134,"17 East Place",Residential
8135,"91 Beach Street",Residential
8136,"26 Theodore Glynn Way",Residential
8137,"66 S Bay Avenue",Residential
8138,"51 Portland Street",Residential
8139,"35 Blandford Street",Residential
8140,"21 Ridgeway Lane",Residential
8141,"58 C Street",Residential
8142,"319 Watson Street",Business
8143,"36 Bumstead Court",Business
8144,"778 Alger Street",Business
8145,"438 Geneva Street",Residential
8146,"33 St Marys Street",Business
8147,"46 A Street",Business
8148,"322 Fleet Street",Residential
8149,"6521 Ida Street",Residential
8150,"18 Carleton Street",Residential
8151,"17 Hull Street Place",Residential
8152,"1673 Opera Place",Residential
8153,"506 State Route 9",Residential
8154,"914 Louisburg Square",Business
8155,"427 Paris Place",Residential
8156,"643 Emmet Street",Business
8157,"164 Clinton Street",Business
8158,"2449 James Street",Residential
8159,"26 Pelham Terrace",Residential
8160,"761 Columbia Road",Business
8161,"71 Gates Street",Business
8162,"663 McKinley Square",Residential
8163,"330 Beacon Street",Residential
8164,"5529 Vallar Road",Residential
8165,"515 Claremont Street",Residential
8166,"956 B Street",Residential
8167,"140 Kilby Place",Business
8168,"553 US Highway 20",Residential
8169,"14 W 5th Street",Business
8170,"52 Jackson Avenue",Warehouse
8171,"4801 Knapp Street",Residential
8172,"84 Hawkins Street",Business
8173,"468 Baldwin Place",Residential
8174,"9420 Yawkey Way",Residential
8175,"1454 Soldiers Field Road",Residential
8176,"476 Fencourt Road",Business
8177,"137 Dorchester Street",Residential
8178,"814 Jenkins Street",Residential
8179,"57 Anthony J Grieco Terrace",Residential
8180,"1885 Commercial Wharf W",Residential
8181,"42 Thayer Street",Business
8182,"939 Hatch Street",Residential
8183,"437 Hanson Street",Residential
8184,"392 Holyoke Street",Residential
8185,"276 Columbia Road",Residential
8186,"729 Lillian Street",Business
8187,"98 Union Wharf",Residential
8188,"4675 A Street",Residential
8189,"46 Dexter Street",Business
8190,"914 Aguadilla Street",Residential
8191,"835 Wiggin Street",Residential
8192,"24 Adams Place",Residential
8193,"5 Quincy Court",Residential
8194,"80 Mt Washington Avenue",Residential
8195,"137 E 5th Street",Residential
8196,"37 Story Street",Residential
8197,"15 Service Place",Residential
8198,"211 W Rutland Square",Residential
8199,"118 Necco Street",Business
8200,"573 Knowlton Street",Residential
8201,"62 Pittsburgh Street",Residential
8202,"5734 Clipper Ship Lane",Residential
8203,"466 Marginal Street",Residential
8204,"15 E 6th Street",Business
8205,"45 Marion Street",Business
8206,"439 O Street",Residential
8207,"91 Bernard Place",Business
8208,"68 Gloucester Street",Business
8209,"64 Follen Street",Residential
8210,"514 Huntington Avenue",Residential
8211,"73 Willow Street",Residential
8212,"601 Humboldt Place",Business
8213,"27 Lafayette Avenue",Residential
8214,"4432 Long Wharf",Business
8215,"12 Barnes Avenue",Residential
8216,"737 Blackfan Street",Residential
8217,"5412 Massachusetts Avenue",Residential
8218,"7 Carleton Street",Residential
8219,"853 Yarmouth Place",Residential
8220,"36 W 7th Street",Residential
8221,"555 Bartlett Place",Business
8222,"6003 G Street",Residential
8223,"0 Melrose Street",Business
8224,"59 Lattimore Court",Residential
8225,"162 Foam Street",Residential
8226,"395 C Street",Residential
8227,"59 Faywood Avenue",Residential
8228,"513 Viking Street",Residential
8229,"760 Putnam Avenue",Warehouse
8230,"576 Thorn Street",Residential
8231,"52 Columbia Street",Residential
8232,"589 Babcock Street",Residential
8233,"516 Monks Street",Residential
8234,"0 Telegraph Street",Business
8235,"49 Arundel Street",Residential
8236,"264 Boylston Street",Residential
8237,"70 Gilbert Place",Business
8238,"411 Parmelee Street",Business
8239,"6633 Central Square",Residential
8240,"37 Otis Place",Business
8241,"631 Waltham Street",Business
8242,"20 Flint Place",Business
8243,"96 Federal Court",Residential
8244,"699 Pilsudski Way",Residential
8245,"998 Nassau Street",Residential
8246,"646 Aguadilla Street",Business
8247,"9161 Scott Alley",Residential
8248,"970 Kempton Street",Business
8249,"9651 Traveler Street",Residential
8250,"4 Monks Street",Business
8251,"886 Bay View Place",Residential
8252,"5 Arlington Street",Residential
8253,"56 Beck Street",Business
8254,"75 Bay Street",Residential
8255,"431 Trotter Court",Business
8256,"850 Homer Street",Residential
8257,"32 State Route 28",Residential
8258,"405 Chelsea Terrace",Residential
8259,"21 Broadway",Residential
8260,"716 Randolph Street",Residential
8261,"375 Creek Square",Warehouse
8262,"122 Albemarle Court",Residential
8263,"709 Agassiz Road",Residential
8264,"335 Webster Street",Residential
8265,"6018 Longfellow Place",Residential
8266,"711 State Route 28",Business
8267,"707 Father Songin Way",Residential
8268,"8697 Joyce Hayes Way",Residential
8269,"6 Scotia Street",Residential
8270,"45 N Washington Street",Residential
8271,"415 Tuckerman Street",Residential
8272,"1984 W 3rd Street Place",Business
8273,"13 Hardy Street",Residential
8274,"819 Bernard Place",Business
8275,"103 Charter Street",Residential
8276,"26 Barnard Place",Business
8277,"7832 Elkins Street",Residential
8278,"19 Berkeley Street",Residential
8279,"7 Columbus Avenue",Residential
8280,"619 Avon Street",Business
8281,"25 Coburn Court",Residential
8282,"12 Sudbury Street",Residential
8283,"5992 Margaret Street",Residential
8284,"858 Frankfort Street",Residential
8285,"74 Butler Square",Business
8286,"430 State Route 2a",Business
8287,"233 Middle Street",Residential
8288,"847 E 4th Street",Residential
8289,"737 Hardy Street",Residential
8290,"72 Jackson Avenue",Residential
8291,"1149 Clinton Street",Residential
8292,"537 Design Center Place",Business
8293,"70 Preble Street",Residential
8294,"46 Laconia Street",Residential
8295,"17 Monks Street",Business
8296,"697 Dorchester Street",Business
8297,"618 Lilly Street",Residential
8298,"97 Massachusetts Avenue",Business
8299,"294 Fruit Street",Residential
8300,"23 Sherborn Street",Residential
8301,"52 Mount Washington Place",Residential
8302,"593 Sudbury Street",Business
8303,"2395 Raleigh Street",Warehouse
8304,"97 Wadleigh Place",Residential
8305,"175 W 3rd Street",Residential
8306,"649 Monument Court",Residential
8307,"270 Union Park Street",Residential
8308,"219 Lagrange Street",Residential
8309,"80 Bennington Street",Business
8310,"60 Locke Place",Residential
8311,"84 Anderson Place",Residential
8312,"315 Swan Avenue",Business
8313,"8561 Somerset Street",Business
8314,"411 Sherborn Street",Business
8315,"76 Bennet Place",Residential
8316,"245 Shawsheen Road",Residential
8317,"565 Sherborn Street",Residential
8318,"132 Ashburton Place",Business
8319,"5946 Plympton Street",Residential
8320,"42 Mohawk Street",Residential
8321,"334 Emerson Place",Residential
8322,"92 Durham Street",Business
8323,"50 Exeter Street",Residential
8324,"1975 Dalessio Court",Business
8325,"90 Service Road",Residential
8326,"70 New Sudbury Street",Residential
8327,"67 Locke Place",Business
8328,"69 Head Place",Residential
8329,"4939 Leman Place",Residential
8330,"279 Harrison Avenue",Residential
8331,"679 Fleet Street",Business
8332,"398 W Broadway",Residential
8333,"972 Congress Street",Residential
8334,"8339 Palermo Street",Residential
8335,"60 Blackwood Street",Residential
8336,"190 Boylston Street",Residential
8337,"31 Seaver Street",Residential
8338,"91 Moon Street",Residential
8339,"374 Albemarle Street",Business
8340,"63 W 8th Street",Residential
8341,"13 Davis Court",Residential
8342,"576 Everett Street",Residential
8343,"7775 Collidge Avenue",Residential
8344,"7991 Andrews Street",Business
8345,"378 Seaview Avenue",Business
8346,"28 Salutation Street",Residential
8347,"93 D Street",Business
8348,"48 Msgr Albert A Jacobbe Road",Business
8349,"541 Baldwin Street",Business
8350,"147 3rd Place",Business
8351,"3850 Brandywyne Drive",Business
8352,"12 Lovell Street",Residential
8353,"392 Hanover Street",Business
